ARG	ARG Category	Total Read Count
tet(39)	Efflux	5255
tet(C)	Efflux	4617
OXA-1243	Inactivation	3771
aadA25	Inactivation	3736
ANT(3'')-II-AAC(6')-IId	Inactivation	2932
tet(E)	Efflux	2871
qacEdelta1	Efflux	2385
APH(6)-Id	Inactivation	2357
CfxA5	Inactivation	1502
aadA2	Inactivation	1234
