Bin_ID	Adherence	Antimicrobial Activity/Competitive Advantage	Biofilm	Effector Delivery System	Exoenzyme	Exotoxin	Immune Modulation	Invasion	Motility	Nutritional/Metabolic Factor	Others	Post-Translational Modification	Regulation	Stress Survival	Total_VFs
binning_output.001	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3
binning_output.002	1	0	0	0	0	0	1	0	0	2	1	0	0	0	5
binning_output.003	0	0	1	1	0	0	0	0	0	0	0	0	0	1	3
binning_output.004	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2
binning_output.005	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3
binning_output.006	0	0	0	1	0	0	2	0	1	1	0	0	1	0	6
binning_output.007	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.008	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2
binning_output.009	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3
binning_output.010	5	0	1	4	0	1	2	0	0	0	0	0	1	0	14
binning_output.011	0	1	0	1	0	1	0	0	0	1	1	0	1	1	7
binning_output.012	2	0	0	1	0	1	6	0	7	1	0	0	1	1	20
binning_output.013	3	0	0	1	0	0	3	0	1	1	0	0	0	0	9
binning_output.014	6	2	0	3	0	0	4	0	0	1	0	0	1	0	17
binning_output.015	5	1	1	7	0	1	7	1	9	6	0	0	0	0	38
binning_output.016	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3
binning_output.017	0	2	0	0	0	1	4	0	4	3	1	0	0	0	15
binning_output.018	1	0	0	0	0	1	5	0	4	8	0	1	3	1	24
binning_output.019	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
binning_output.020	2	1	0	0	0	0	1	0	1	0	0	0	0	1	6
binning_output.021	6	0	1	1	1	0	3	0	0	3	0	0	0	0	15
binning_output.022	8	1	1	8	0	0	4	0	1	3	0	0	0	0	26
binning_output.023	14	4	0	11	0	0	3	0	13	16	1	1	1	1	65
binning_output.024	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2
binning_output.025	4	0	0	1	0	0	1	0	5	1	0	0	1	0	13
binning_output.026	4	0	0	1	0	2	12	0	6	2	0	0	0	0	27
binning_output.027	3	0	2	1	0	1	11	0	2	2	0	0	3	0	25
binning_output.028	1	1	0	1	0	1	1	0	3	3	0	0	0	0	11
binning_output.029	0	0	0	1	0	0	5	0	0	1	0	0	0	0	7
binning_output.030	2	0	0	1	0	0	2	0	0	2	0	0	1	0	8
binning_output.032	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
binning_output.033	9	1	0	3	0	0	3	0	2	6	0	0	1	3	28
binning_output.034	6	0	0	0	0	0	2	0	6	0	0	0	1	0	15
binning_output.035	6	1	3	3	0	0	0	0	1	5	0	0	0	0	19
binning_output.036	3	0	0	1	0	0	0	0	0	0	0	0	0	0	4
binning_output.037	6	0	0	0	0	0	1	0	1	1	0	0	1	0	10
binning_output.038	1	0	0	2	0	1	1	0	0	1	0	0	0	0	6
binning_output.039	3	1	0	8	0	0	8	0	1	1	0	0	0	2	24
binning_output.040	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.041	2	1	0	0	0	0	1	1	0	1	0	0	0	0	6
binning_output.042	2	0	3	0	0	3	14	0	7	5	2	2	1	4	43
binning_output.043	1	0	1	0	0	0	2	0	0	1	0	0	1	0	6
binning_output.044	7	2	2	5	2	1	4	0	12	3	0	0	3	1	42
binning_output.045	4	1	2	2	0	1	5	0	2	7	1	0	2	2	29
binning_output.046	3	0	1	0	0	0	2	0	2	4	0	0	0	0	12
binning_output.047	5	1	3	1	1	0	5	0	4	1	0	0	0	1	22
binning_output.048	1	0	2	2	0	1	7	0	2	1	0	0	1	0	17
binning_output.049	6	0	1	0	0	1	3	0	5	6	0	0	1	0	23
